A0W1EAR7,San Vicente,Costa Rica
7IPNEBIS,Penhold,Canada
Y6VXLIDG,Watulumbung,Indonesia
7CDPSPAP,Sobral,Portugal
RMYCA5U8,Vårby,Sweden
QR1KZ5RD,Junyang,China
CLWEKXDX,Santo Antônio do Içá,Brazil
F4PLZ5DE,Pukou,China
3QP8CGBW,Al Nashmah,Yemen
D5XLZD2L,Baitoa,Dominican Republic
KN88LT96,Yongle,China
HPUEF8KE,Semiring,Indonesia
N92RTVVR,Larochette,Luxembourg
Z71N4JAG,Moch,Micronesia
3PR87CWI,Tsalgar,Mongolia
OSMXFMUU,Kunashak,Russia
8DAL49Y0,Lizhuang,China
U5IM608G,Yingyang,China
JIZKDK8E,Ciputih,Indonesia
81W3ZZOG,Prévost,Canada
M14XK354,Guimbal,Philippines
5YWJCIJX,Chincha Baja,Peru
WOAP8BWK,Sakassou,Ivory Coast
P0HGZ3QL,Novovarshavka,Russia
MJ7VPDQ0,Skopje,Macedonia
8R7EKGM2,Changle,China
7LL6XN57,Dolní Dunajovice,Czech Republic
AR2KTIX9,Kibara,Tanzania
JVW6QWNH,Salt Lake City,United States
HORR95RJ,Torbat-e Jām,Iran
76V70NYJ,Sosnovo-Ozerskoye,Russia
HSVZOB5O,Colón,Argentina
YTPBIOVY,Banjar Swastika,Indonesia
45ZDF3P9,Sancha,China
KO35RAOA,Keli,Indonesia
8SEBVPYY,Toshloq,Uzbekistan
4J3O4567,Taipingchuan,China
ZZG5WR99,Tata,Morocco
4H1VGGWP,Sarimukti Kaler,Indonesia
0BV1X3OZ,Memaliaj,Albania
5HWXVFCO,Zelenoborskiy,Russia
2FM7GD9W,Mankoeng,South Africa
Q2308B16,Jezerce,Croatia
8DQ6C6OU,Tarusan,Philippines
GZJ5JHGR,Książ Wielkopolski,Poland
6SAEJKK0,Mem Martins,Portugal
HJBU7WTG,Malabar,Indonesia
6GSOPNO4,Mirošov,Czech Republic
KHI4VD3Z,Golden,Canada
6MXEKAKT,Jiudian,China
YY1WF7WG,Neochórion,Greece
YCBPD8LL,Ouro Branco,Brazil
YCCH982E,Jin’e,China
7Y71SCS4,Iballë,Albania
BFBQGAPH,Sallins,Ireland
9AP9CLWS,Yeşilköy,Turkey
MIME8ZHT,Malitubog,Philippines
R36TWX9I,Sumuragung,Indonesia
QF09YD9A,Chengnan,China
B3JHJXY2,Mallow,Ireland
2T8IAVMV,Ārt Khwājah,Afghanistan
4E1FNGS0,Indralayang,Indonesia
6AETZQ9F,Yinping,China
VZ7UD7M4,Bantal,Indonesia
TGF1NUNC,Burhānuddin,Bangladesh
321VQTP9,Kołbiel,Poland
9KUHV965,Šventoji,Lithuania
Z5R2USB3,Miao’ertan,China
S70AOR9G,Jajce,Bosnia and Herzegovina
X5WRW296,Monte,Portugal
J25EKSRU,Ouésso,Republic of the Congo
4N5WS7RH,Yaguarón,Paraguay
CZPEMN6E,Huayuan,China
PZ0IYFON,Yihe,China
IK8G563C,Glushkovo,Russia
Z9J6VY0U,Usulután,El Salvador
A777J0LZ,Nova Olímpia,Brazil
JO57H0EO,Sinarbakti,Indonesia
H0LD2IK3,Nunmanu,Indonesia
WYUL0MB3,Al Mukallā,Yemen
DOCEQEH5,Riyue,China
A2HY2PZJ,Muzambinho,Brazil
9X4E3MMQ,Tolotangga,Indonesia
XEBQYVFF,Rawuk,Indonesia
R9X9UQKX,Ferraria,Portugal
4UL05AJQ,Monte Patria,Chile
QRXV3MBZ,Novorozhdestvenskaya,Russia
NUH6PRY3,San Francisco,Philippines
U63XLYIF,Vänersborg,Sweden
5XG75K6V,Faeanak Dua,Indonesia
NNBW083G,Ica,Peru
SWTD9I0P,La Laja,Chile
BSUXMT1Q,Ekpoma,Nigeria
5K5K451T,Batang,Indonesia
0U9HN977,Angelochóri,Greece
KAWOWZ4Y,Bayt Yāshūţ,Syria
BOAJ7MFA,Sokoto,Nigeria
RQEMINFV,Bida,Nigeria
2GQTDRO4,Lorraine,Canada
PFR04W0I,Tembol,Indonesia
TBK2AD67,Wringinputih,Indonesia
8JGKVDHA,Luofang,China
THRL2HAB,Brzeszcze,Poland
TI60RG97,Vigo,Spain
UORQ56Q9,Manique de Baixo,Portugal
YLGJ323N,Chimoio,Mozambique
4R1MKU2V,Caldono,Colombia
YXKD7QI5,Saint-Marcellin,France
XL1YBR8O,Västerås,Sweden
E7QWPUYB,Maranganí,Peru
9FR20YL3,Ximafang,China
EGUD1AI0,Fuxi,China
QOKRYKLX,Tuqiao,China
5F13BRYX,Carmo do Cajuru,Brazil
UYJ6DT8A,Duobagou,China
9E8FYI97,Pho Thong,Thailand
HBKH2CEZ,Arnhem,Netherlands
FW6MI6I7,Bulgan,Mongolia
GWKSVTV2,Wutong,China
X8NZL7A0,Tučepi,Croatia
V6Q2VQ9G,Whakatane,New Zealand
WCM3C69F,Sutukoba,Gambia
H5LYUI4D,Calimita,Colombia
VBJ0P5PS,Yangdi,China
VIYHUP7Q,Aimorés,Brazil
INO342YI,Arísvi,Greece
0C9K7CMC,Ravānsar,Iran
TCEVCNZG,Biritiba Mirim,Brazil
5YE2EAE8,Kasulu,Tanzania
JLU9803Y,Waldbredimus,Luxembourg
S7AXXQEK,Kisarazu,Japan
0GXGO2EQ,Fukiage-fujimi,Japan
8TP1ZZRO,Sotouboua,Togo
U8OPQYJ9,Balboa,Colombia
2UUQN1BQ,Malbork,Poland
PUBSYYJ3,Badai,China
ZSYB6TNF,Quintãs,Portugal
XMEA5J5P,Souran,Syria
9V9HF85C,Yuxi,China
DH1DMBLE,Myasnikyan,Armenia
CH94T5MW,Arco de Baúlhe,Portugal
ZWWP1XOA,Stutterheim,South Africa
15GYF413,Studénka,Czech Republic
M5LSDHFD,Baculongan,Philippines
QF293ISU,Sainte-Anne-de-Bellevue,Canada
6S50EEVT,Kohāt,Pakistan
AWKD0AJA,Moravský Beroun,Czech Republic
VFMBPN4F,San Ramón,Uruguay
QTA0SQW7,Vredefort,South Africa
4RAMERXC,Rajūzah,Yemen
M6GJMD67,Bangjun,China
JRG8BMEU,Haebaru,Japan
G066Q5ZS,Pensacola,United States
828JNCNQ,Nanzhen,China
AQLF1SJA,Wolfsberg,Austria
INRRUCEM,Primero de Mayo,Mexico
0IZ2C6FN,Yampil’,Ukraine
8HVQJ098,Ribas,Portugal
YC3YIDYM,Villa Nueva,Argentina
QBQ1N2KV,Jaguaribe,Brazil
161UI2CS,Seka,Thailand
712JJC1P,Chapecó,Brazil
5D6JQ6KG,Beau Vallon,Seychelles
BAROAB2S,Guazapa,El Salvador
NU7YFINQ,Uliastay,Mongolia
2MYIUN93,Smimou,Morocco
IMDPRB9P,La Labor,Honduras
25ZWK3IO,Tengah,Indonesia
VCIMX30C,Brusyanka,Russia
X43AD5I0,Bayantal,Mongolia
AFS180V6,Hetang,China
6WT5EFLE,San Pedro de Lloc,Peru
S1YEHB48,Pawa,Philippines
AYWKJF4J,Duanjia,China
E3PVSI4B,Itbayat,Philippines
0WVJ7TIH,Fentange,Luxembourg
PQW285IT,Leiwang,China
J617L5K8,Carquefou,France
92LTEPFK,Pentéli,Greece
ND9Z5OSY,N’dalatando,Angola
5G23RPHV,Phanna Nikhom,Thailand
L7JQRESQ,Alcáçovas,Portugal
36FN0AUL,Puconci,Slovenia
NEI94TD4,Saint Andrews,Canada
CL66YNL3,Lalapanzi,Zimbabwe
016RG22S,Cottbus,Germany
AUWG0289,Hongqi Yingzi,China
QZN8TTFH,Odintsovo,Russia
16DUFAV8,Caihe,China
HDKALEN1,Joconal,Honduras
W0V6KVQQ,Orahovac,Kosovo
0DBVMEJN,Lafayette,United States
CS1ZBBWO,Kinloch,United Kingdom
KR0KGXLJ,Modakeke,Nigeria
Q7YGMAWJ,Thanh Khê,Vietnam
LJPHA9C6,Lengkong,Indonesia
KCHFGCF2,Kedung,Indonesia
8DSQV5WG,Faro,Portugal
8WS7HLEE,Khuean Ubonrat,Thailand
CNK2C3LY,Kepoh,Indonesia
LB8AU9ZT,Xiluodu,China
V5KLWYHE,Baihe,China
VY8OICBN,Tangwāni,Pakistan
IJBHI2XV,Cangkreng,Indonesia
IFAYORNJ,Kaa-Khem,Russia
10ATARII,Wiązownica,Poland
27VN2U3R,Mamponteng,Ghana
CS5UO49D,Guadalupe,Mexico
2ZAO3F9D,Padej,Serbia
IIX6RKLS,Mao’ershan,China
BHVAW4EP,Samal,Philippines
J2B1K77P,Harhorin,Mongolia
Z6B4VR37,Baiyang,China
DWBRNPXR,Ankazondandy,Madagascar
MRXM27H1,Monguno,Nigeria
61WP7ET5,Iperó,Brazil
TXSH12WE,Rauma,Finland
98B0WY22,Log pri Brezovici,Slovenia
ZTS56IFU,Huatanshan,China
650G3W8U,Gaojian,China
IB8STB7V,Longshi,China
IPSLDEHC,Cimo de Vila,Portugal
96QX2PYG,Nové Sedlo,Czech Republic
67I8BEDV,Đắk Song,Vietnam
N00TRM6Y,Kingston,Canada
M2G4I9PR,Alofi,Niue
KBDF0US4,Calabaca,Philippines
1SAIENV5,Tolosa,Philippines
4PR2DAYG,Enköping,Sweden
UQYOZ3YO,Phra Pradaeng,Thailand
5OSM82N5,Bhairab Bāzār,Bangladesh
71BAK9RN,Xingren,China
K8BN3X7O,Richmond,Canada
P6VUT3F7,Stockholm,Sweden
4X3QQUB1,Shouchang,China
O9ZXCVGT,Corumbá,Brazil
OL6EB65Q,Mnelalete,Indonesia
67G8KJXD,Huangshapu,China
TE9IP090,Lambayong,Philippines
4DSAAQ0T,Żabbar,Malta
3JIXHX3F,Batibati,Indonesia
SMP5O3AX,Capacho Nuevo,Venezuela
6QQ4RTPD,Jatiklampok,Indonesia
ENNJFWXY,Vroutek,Czech Republic
VM1152AO,Conroe,United States
0SYGZB1D,Atlanta,United States
OD64SK8H,Ivry-sur-Seine,France
ERUVEMW9,Qo‘qon,Uzbekistan
4F7BS2PU,Dawang,China
3L55CX7Z,Darungan,Indonesia
63YQDA25,Baikouquan,China
3R1S0GGT,Viitasaari,Finland
L7LQ3ED8,Plessisville,Canada
SAZZYKI7,Pontalina,Brazil
EYEWRYOC,Xiangjiazhai,China
YTLEDXVP,Kenzhe,Russia
8B13MHTW,Lima Pampa,Peru
MLH2BK9T,Astorga,Brazil
Q6N1NLXP,Viso,Portugal
ULUPVP5K,Verkhniy Yasenov,Ukraine
Q5CYU1X9,Kostomuksha,Russia
RIQH7AJY,Savalou,Benin
POZNEOL5,Luniao,China
VNBKHJBX,Pinglumiao,China
TQW7TVB4,Vřesina,Czech Republic
KFBRMTJU,Pestovo,Russia
CFMBU5SJ,Heung-hai,South Korea
P9B388SU,Meilin,China
06VOOEQD,Mabini,Philippines
CB4QIC1H,Noginsk,Russia
DJFDWNDR,Borgo Maggiore,San Marino
B6FVE1MJ,Dalinhe,China
9R7RUKC0,Waigete,Indonesia
BUMNPHE3,Nazaré,Brazil
K0CPO4NH,Lañgub,Philippines
H1LJA9IP,Abaetetuba,Brazil
ZYOVFVZ5,Yongdeng Chengguanzhen,China
7KJS9MB3,Měnín,Czech Republic
WTLM9QRS,Farafangana,Madagascar
VRP93XEG,Formosa,Argentina
77W5MB0C,Jianxi,China
Y2Q6ZXOK,Jampang Tengah,Indonesia
9FQCLH6Q,Hucun,China
FO8W9LVS,Tubli,Philippines
SNBNOHNB,Ljungskile,Sweden
159DS2D3,Dnipryany,Ukraine
U25CG2PI,Hamburg Winterhude,Germany
MIDOS4N6,Carmen,Philippines
OZILFCM2,Carania,Peru
O0NSTWUA,Rizal,Philippines
XHHF4GDF,Kraśniczyn,Poland
RMTF88MK,Voskresenskoye,Russia
8GA4HOOQ,Krzęcin,Poland
DUAKLV36,Neietsu,South Korea
4Y5IS2A1,Siquanpu,China
OA7FRYFI,Saint-Denis,Reunion
6BPEG0X5,Mingfeng,China
V4FY1623,Gasi,China
KR6LLN0K,Glugu,Indonesia
LVBUZJ15,Santana do Paraíso,Brazil
5QG0W3CS,Miastków Kościelny,Poland
JMWGX08T,Karvia,Finland
R4WN2XYF,Xi’an,China
RN5JQ3C2,Botao,Philippines
NQFD3CUO,Dongjiao,China
SX6JLC6G,Karengan,Indonesia
9A7D53GJ,Khamis Mushait,Saudi Arabia
OI7OMKQ0,Oltinko’l,Uzbekistan
BWSZSDRG,Muskegon,United States
VS0A74I9,Vitim,Russia
HL0G6UHT,Haukivuori,Finland
QZ8W0V6A,Sharga,Mongolia
ZZ297NWI,Qixing,China
G818YE3Y,Osnabrück,Germany
B8T077CJ,Arys,Kazakhstan
G6VFDS0I,Korenovsk,Russia
VBULI90H,Jemielno,Poland
INQKNDDR,Kirovgrad,Russia
6AGITBRR,Bangrat,Indonesia
8D5S2W37,Cinyawar,Indonesia
92ONYKPB,Numeto,Indonesia
E2XB7BUV,Gayam,Indonesia
KYC8A2CA,Arnaía,Greece
ALT56421,Guimba,Philippines
Z8LW4LN6,Tianhe,China
PWNEFZB6,Ostružnica,Serbia
0QEVEFCE,Silute,Lithuania
PTYOA21P,San Eugenio,Philippines
U1CLXNGB,Kathu,Thailand
RL7G2E9A,Pataruman,Indonesia
NYBIX404,Soloma,Guatemala
4JFE4U20,Leomil,Portugal
NJ2X6AE1,Wantian,China
0HRJOQDL,Selasari,Indonesia
SW9IUH75,Qinshi,China
DTM0L2XA,Bến Tre,Vietnam
QWXTMXAT,Thị Trấn Tân Yên,Vietnam
8DIZPIFU,Amapala,Honduras
EAKZHVIS,Taksimo,Russia
26MHLC4J,Zhongdong,China
0QYGTYGJ,Voloka,Ukraine
2RUTADDG,Karangpaningal,Indonesia
0LOGBIT1,Tewulike,China
0HLJXYLE,Yanhe,China
78NVS5S1,Xindong,China
83563MMN,Pontivy,France
V0GFF7DK,Dobre,Poland
T6CY720A,Semenivka,Ukraine
